缴费年份,累计年费,重疾保险金,生存保证金,身故保险金,保单现金价值（退保金额）,4%收益理财,3%收益,2%收益,备注
1,"￥19,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥2,800.00","￥19,760.00","￥19,570.00","￥19,380.00",
2,"￥38,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥7,700.00","￥40,310.40","￥39,727.10","￥39,147.60",
3,"￥57,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥13,100.00","￥61,682.82","￥60,488.91","￥59,310.55",
4,"￥76,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥23,200.00","￥83,910.13","￥81,873.58","￥79,876.76",
5,"￥95,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥34,000.00","￥107,026.53","￥103,899.79","￥100,854.30",
6,"￥114,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥45,400.00","￥131,067.60","￥126,586.78","￥122,251.38",
7,"￥133,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥57,500.00","￥156,070.30","￥149,954.38","￥144,076.41",
8,"￥152,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥70,400.00","￥182,073.11","￥174,023.02","￥166,337.94",
9,"￥171,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥84,000.00","￥209,116.04","￥198,813.71","￥189,044.70",
10,"￥190,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥98,400.00","￥237,240.68","￥224,348.12","￥212,205.59",
11,"￥209,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥113,400.00","￥266,490.30","￥250,648.56","￥235,829.70",
12,"￥228,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥129,300.00","￥296,909.92","￥277,738.02","￥259,926.30",
13,"￥247,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥146,000.00","￥328,546.31","￥305,640.16","￥284,504.82",
14,"￥266,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥163,500.00","￥361,448.17","￥334,379.36","￥309,574.92",
15,"￥285,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥181,700.00","￥395,666.09","￥363,980.74","￥335,146.42",
16,"￥304,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥200,900.00","￥431,252.74","￥394,470.17","￥361,229.35",
17,"￥323,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥220,900.00","￥468,262.84","￥425,874.27","￥387,833.94",
18,"￥342,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥241,900.00","￥506,753.36","￥458,220.50","￥414,970.61",
19,"￥361,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥263,700.00","￥546,783.49","￥491,537.12","￥442,650.03",
20,"￥380,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥286,700.00","￥588,414.83","￥525,853.23","￥470,883.03",
21,"￥399,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥308,100.00","￥631,711.43","￥561,198.83","￥499,680.69",
22,"￥418,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥330,300.00","￥676,739.88","￥597,604.79","￥529,054.30",
23,"￥437,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥353,300.00","￥723,569.48","￥635,102.93","￥559,015.39",
24,"￥456,000.00","￥1,000,000.00",￥0.00,"￥1,000,000.00","￥377,200.00","￥772,272.26","￥673,726.02","￥589,575.69",
